Description,Rate,Titles,Year
Documental. Serie de TV. Naturaleza. Documental científico,"8,7",Cosmos (Serie de TV),1980
Comedia. Romance. Cine mudo. Pobreza. Comedia romántica. Comedia dramática,"8,6",Luces de la ciudad ,1931
Comedia. Sátira. Nazismo. II Guerra Mundial. Propaganda,"8,6",El gran dictador ,1940
Comedia. Sátira. Comedia dramática. Drama social. Trabajo/empleo. Cine mudo. Película de culto,"8,6",Tiempos modernos ,1936
Drama. Siglo XVII. Japón feudal. Samuráis. Película de culto,"8,5",Harakiri (Seppuku) ,1962
Aventuras. Drama. Japón feudal. Siglo XVI. Samuráis. Película de culto,"8,5",Los siete samuráis ,1954
Documental. Serie de TV. Miniserie de TV. Naturaleza,"8,4",Planeta humano (Miniserie de TV),2011
Cine negro. Thriller. Intriga. Drama. Crimen. Policíaco. Secuestros / Desapariciones,"8,4",El infierno del odio ,1963
Comedia. Drama. Pobreza. Cine mudo. Comedia dramática. Película de culto,"8,4",El chico ,1921
Drama. Romance. Drama romántico. Melodrama. Expresionismo alemán. Cine mudo. Película de culto,"8,4",Amanecer ,1927
Comedia. Drama. Aventuras. Cine mudo. Años 1900 (circa). Comedia dramática,"8,4",La quimera del oro ,1925
Drama. Melodrama. Cine dentro del cine. Infancia,"8,3",Cinema Paradiso ,1988
Thriller. Intriga. Crimen. Asesinos en serie. Expresionismo alemán,"8,3","M, el vampiro de Düsseldorf ",1931
Drama. Enfermedad. Vejez. Drama psicológico,"8,3",Vivir (Ikiru) ,1952
Drama. Histórico. Cine mudo. Siglo XV. Religión. Película de culto,"8,3",La pasión de Juana de Arco ,1928
Comedia. Acción. Trenes/Metros. Ejército. Guerra de Secesión. Película de culto. Cine mudo,"8,3",El maquinista de La General ,1926
Drama. Romance. Drama romántico. Teatro. Ballet. Años 1910-1919,"8,3",Candilejas ,1952
Drama. Vejez. Familia,"8,3",Cuentos de Tokio ,1953
Drama. Intriga. Película de culto,"8,3",Rebeca ,1940
Drama. Religión. Años 20. Vida rural. Remake. Película de culto,"8,3",Ordet (La palabra) ,1955
Cine negro. Intriga. Drama. Amistad,"8,3",El tercer hombre ,1949
Bélico. Drama. Guerra de Vietnam. Película de culto,"8,3",Apocalypse Now ,1979
Ciencia ficción. Drama. Distopía. Steampunk. Robots. Expresionismo alemán. Película de culto. Cine mudo,"8,2",Metrópolis ,1927
Drama. Familia. Pobreza. Infancia. Años 1910-1919,"8,2",Pather Panchali (La canción del camino) ,1955
Drama. Prostitución. Neorrealismo,"8,2",Las noches de Cabiria ,1957
Comedia. Sátira. Guerra Fría,"8,2","Uno, dos, tres ",1961
Drama. Drama carcelario. Nazismo. II Guerra Mundial,"8,2",Un condenado a muerte se ha escapado ,1956
Drama. Terror. Discapacidad. Circo. Película de culto,"8,2",La parada de los monstruos ,1932
Drama. Expresionismo alemán. Cine mudo. Vejez,"8,2",El último ,1924
Intriga. Drama psicológico. Comedia negra,"8,2",La huella ,1972
Drama. Fantástico. Cine familiar. Navidad. Comedia dramática,"8,2",Qué bello es vivir ,1946
Drama. Años 20. Familia. Infancia. Adolescencia. Pobreza. Secuela. Drama psicológico,"8,2",Aparajito (El invencible) ,1956
Drama. Neorrealismo. Teatro,"8,2",La Strada ,1954
Drama. Bélico. II Guerra Mundial. Neorrealismo. Basado en hechos reales,"8,2","Roma, ciudad abierta ",1945
Aventuras. Thriller. Drama. Película de culto,"8,2",El salario del miedo ,1953
Drama. Pobreza. Amistad. Celos. Melodrama. Drama psicológico. Cine mudo,"8,2",Avaricia ,1924
Drama. Neorrealismo. Vejez. Perros/Lobos,"8,2",Umberto D. ,1952
Documental. Serie de TV. Documental sobre cine,"8,2",La historia del cine: Una odisea (Serie de TV),2011
Drama. Siglo XIV. Edad Media. Religión. Ajedrez. Pandemias. Película de culto,"8,2",El séptimo sello ,1957
Romance. Drama. Teatro. Siglo XIX. Drama romántico,"8,2",Los niños del paraíso ,1945
Documental. Documental sobre Historia. Holocausto. Nazismo. Mediometraje,"8,2",Noche y niebla ,1955
Drama. Familia. Discapacidad. II Guerra Mundial. Melodrama. Años 40,"8,2",Los mejores años de nuestra vida ,1946
Drama. Drama psicológico,"8,2",Secretos de un matrimonio ,1974
Drama. Siglo XVII. Religión. Brujería. Vida rural,"8,2",Dies irae ,1943
Drama. Japón feudal. Siglo XVI. Samuráis,"8,2",Trono de sangre ,1957
Thriller. Acción. Crimen. Neo-noir. Robos & Atracos. Cine independiente USA. Película de culto,"8,1",Reservoir Dogs ,1992
Drama. Romance. Alcoholismo,"8,1",Días de vino y rosas ,1962
Drama. Melodrama. Drama sureño. Siglo XIX,"8,1",La loba ,1941
Cine negro. Intriga. Thriller. Crimen. Pintura,"8,1",La mujer del cuadro ,1944
Drama. Vejez. Road Movie. Película de culto,"8,1",Fresas salvajes ,1957
Drama. Vejez. Familia,"8,1",Dejad paso al mañana ,1937
Thriller. Intriga. Drama. Años 70. Crimen. Dictadura argentina. Policíaco,"8,1",El secreto de sus ojos ,2009
Drama. Familia,"8,1",Primavera tardía ,1949
Drama. Melodrama. Cine dentro del cine,"8,1",Cautivos del mal ,1952
Documental. Bélico. Drama. Falso documental. Histórico. Siglo XIX. Documental sobre Historia,"8,1",La comuna (Paris 1871) ,2000
Drama. Nouvelle vague. Película de culto. Adolescencia. Enseñanza,"8,1",Los cuatrocientos golpes (Los 400 golpes) ,1959
Acción. Drama. Japón feudal. Siglo XIX. Samuráis,"8,1",Yojimbo (El mercenario) ,1961
Terror. Expresionismo alemán. Circo. Asesinos en serie. Cine mudo. Película de culto,"8,1",El gabinete del doctor Caligari ,1920
Romance. Drama. Drama romántico. Melodrama,"8,1",Breve encuentro ,1945
Drama. Familia. Melodrama,"8,1",Crepúsculo en Tokio ,1957
Drama. Bélico. Japón feudal. Siglo XVI. Familia. Cine épico,"8,1",Ran ,1985
Drama. Romance. Melodrama. Drama romántico. Siglo XIX. Teatro,"8,1",Historia del último crisantemo ,1939
Western. ,"8,1",Solo ante el peligro ,1952
Drama. Infancia. II Guerra Mundial. Neorrealismo,"8,1","Alemania, año cero ",1948
Cine negro. Thriller. Crimen. Robos & Atracos,"8,1",Rififi ,1955
Fantástico. Terror. Drama. Cine mudo. Expresionismo alemán,"8,1",Fausto ,1926
Drama. Biográfico. Enfermedad. Discapacidad. Siglo XIX. Película de culto,"8,1",El hombre elefante ,1980
Drama. Comedia. Cine dentro del cine. Surrealismo. Película de culto,"8,1","Fellini, ocho y medio (8½) ",1963
Thriller. Drama. Mafia. Crimen. Juego. Años 70. Años 80,"8,1",Casino ,1995
Comedia. Drama. Comedia dramática. Discapacidad. Amistad,"8,1",Intocable ,2011
Documental. Cine mudo. Cine experimental,"8,1",El hombre de la cámara ,1929
Documental. Documental sobre música,"8,1",Searching for Sugar Man ,2012
Comedia. Cine mudo. Circo,"8,1",El circo ,1928
Drama. Melodrama. Familia. Drama sureño,"8,0",La gata sobre el tejado de zinc ,1958
Drama. Thriller. Espionaje. Guerra Fría. Años 80,"8,0",La vida de los otros ,2006
Western. ,"8,0",La diligencia ,1939
Drama. ,"8,0",El comienzo del verano ,1951
Drama. Deporte. Boxeo,"8,0",Million Dollar Baby ,2004
Drama. Neorrealismo. Pesca,"8,0",La tierra tiembla ,1948
Drama. Bélico. Guerra de Vietnam. Amistad. Caza,"8,0",El cazador ,1978
Drama. Drama psicológico. Familia,"8,0",Sonata de otoño ,1978
Comedia. Romance. Comedia romántica. Periodismo. Remake,"8,0",Luna nueva ,1940
Comedia. Comedia negra. Crimen. Basado en hechos reales. Asesinos en serie. Años 20. Años 30,"8,0",Monsieur Verdoux ,1947
Terror. Expresionismo alemán. Cine mudo. Película de culto. Vampiros. Siglo XIX,"8,0",Nosferatu ,1922
Drama. II Guerra Mundial. Nazismo,"8,0",Esta tierra es mía ,1943
Western. Romance. ,"8,0",Horizontes de grandeza ,1958
Fantástico. Aventuras. Drama. Espada y brujería. Cine épico. Expresionismo alemán. Cine mudo,"8,0",Los Nibelungos: la muerte de Sigfrido (Los Nibelungos Parte I) ,1924
Drama. ,"8,0",Calle Mayor ,1956
Drama. Bélico. Revolución Rusa. Histórico. Basado en hechos reales. Cine mudo. Propaganda,"8,0",El acorazado Potemkin ,1925
Cine negro. Intriga. Drama. Crimen. Drama romántico. Drama psicológico. Cine dentro del cine,"8,0",En un lugar solitario ,1950
Drama. Romance. ,"8,0",L'Atalante ,1934
Drama. Años 30. Amistad. Homosexualidad,"8,0",Una jornada particular ,1977
Drama. Siglo XIX. Drama romántico,"7,9",Madame de... ,1953
Documental. Documental marino. Animales. Delfines,"7,9",The Cove ,2009
Comedia. Prostitución. Comedia romántica,"7,9",Irma la dulce ,1963
Drama. Años 1900 (circa). Infancia. Familia. Religión,"7,9",Fanny y Alexander ,1982
