Description,Rate,Titles,Vote_count,Year
Documental. Serie de TV. Naturaleza. Documental científico,"8,7",Cosmos (Serie de TV),12.451 votos,1980
Comedia. Romance. Cine mudo. Pobreza. Comedia romántica. Comedia dramática,"8,6",Luces de la ciudad ,30.906 votos,1931
Comedia. Sátira. Nazismo. II Guerra Mundial. Propaganda,"8,6",El gran dictador ,84.428 votos,1940
Comedia. Sátira. Comedia dramática. Drama social. Trabajo/empleo. Cine mudo. Película de culto,"8,6",Tiempos modernos ,60.833 votos,1936
Drama. Siglo XVII. Japón feudal. Samuráis. Película de culto,"8,5",Harakiri (Seppuku) ,9.986 votos,1962
Aventuras. Drama. Japón feudal. Siglo XVI. Samuráis. Película de culto,"8,5",Los siete samuráis ,39.866 votos,1954
Cine negro. Thriller. Intriga. Drama. Crimen. Policíaco. Secuestros / Desapariciones,"8,4",El infierno del odio ,7.060 votos,1963
Documental. Serie de TV. Miniserie de TV. Naturaleza,"8,4",Planeta humano (Miniserie de TV),2.399 votos,2011
Drama. Romance. Drama romántico. Melodrama. Expresionismo alemán. Cine mudo. Película de culto,"8,4",Amanecer ,13.233 votos,1927
Comedia. Drama. Pobreza. Cine mudo. Comedia dramática. Película de culto,"8,4",El chico ,30.110 votos,1921
Comedia. Drama. Aventuras. Cine mudo. Años 1900 (circa). Comedia dramática,"8,4",La quimera del oro ,26.107 votos,1925
Drama. Melodrama. Cine dentro del cine. Infancia,"8,3",Cinema Paradiso ,86.858 votos,1988
Drama. Enfermedad. Vejez. Drama psicológico,"8,3",Vivir (Ikiru) ,9.768 votos,1952
Drama. Histórico. Cine mudo. Siglo XV. Religión. Película de culto,"8,3",La pasión de Juana de Arco ,8.867 votos,1928
Comedia. Acción. Trenes/Metros. Ejército. Guerra de Secesión. Película de culto. Cine mudo,"8,3",El maquinista de La General ,27.365 votos,1926
Drama. Romance. Drama romántico. Teatro. Ballet. Años 1910-1919,"8,3",Candilejas ,12.637 votos,1952
Drama. Vejez. Familia,"8,3",Cuentos de Tokio ,10.699 votos,1953
